time,velocity
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,45.685936
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,49.938169
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
20.000000,50.000000
25.000000,49.987362
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,49.361622
25.000000,49.919940
25.000000,49.990018
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,48.125574
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,48.091586
25.000000,50.000000
25.000000,50.000000
25.000000,49.854035
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,44.884380
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,49.424592
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,49.991377
25.000000,49.944596
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,49.778717
25.000000,49.539742
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,49.967362
25.000000,49.999965
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
25.000000,50.000000
30.000000,49.876847
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,49.994858
30.000000,49.973552
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,49.991682
30.000000,50.000000
30.000000,50.000000
30.000000,49.765541
30.000000,39.583686
30.000000,50.000000
30.000000,49.990293
30.000000,50.000000
30.000000,48.125574
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,27.737691
30.000000,50.000000
30.000000,46.236520
30.000000,50.000000
30.000000,49.957209
30.000000,49.974575
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,49.993668
30.000000,49.998984
30.000000,50.000000
30.000000,49.991747
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,40.223015
30.000000,50.000000
30.000000,49.675316
30.000000,50.000000
30.000000,50.000000
30.000000,49.824235
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,49.268440
30.000000,49.534657
30.000000,50.000000
30.000000,49.999115
30.000000,50.000000
30.000000,50.000000
30.000000,44.599412
30.000000,46.130665
30.000000,47.207473
30.000000,49.995415
30.000000,49.910572
30.000000,50.000000
30.000000,50.000000
30.000000,44.000639
30.000000,50.000000
30.000000,49.947886
30.000000,49.943056
30.000000,50.000000
30.000000,49.999525
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,39.599274
30.000000,50.000000
30.000000,50.000000
30.000000,49.998707
30.000000,50.000000
30.000000,49.988566
30.000000,50.000000
30.000000,50.000000
30.000000,50.000000
30.000000,49.566682
30.000000,47.763203
30.000000,49.918028
30.000000,50.000000
30.000000,50.000000
